SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date
Vacant/Abandoned Building,15-03670676,07/27/2015,Front,,Boarded,,Vacant,True,False,1300,S,KEELER,AVE,60623.0,1148589.8610772,1893708.92463292,24.0,10.0,29.0,41.86427395043493,-87.73000805666081,"(41.86427395043493, -87.7300080566608)",2015-07-27
Vacant/Abandoned Building,15-03486826,07/18/2015,Front,,Open,"FRONT/REAR DOORS, WINDOWS",Vacant,False,True,8412,S,KERFOOT,AVE,60620.0,1173442.13321194,1849002.23710965,21.0,6.0,71.0,41.74107876400168,-87.6400999512488,"(41.74107876400168, -87.6400999512488)",2015-07-18
Vacant/Abandoned Building,15-03328088,07/11/2015,Front,,Open,BSMT UNIT-FRONT AND REAR,Vacant,False,True,4921,W,RICE,ST,60651.0,1143392.76321725,1905207.99376674,37.0,15.0,25.0,41.895927448111244,-87.7487991844612,"(41.89592744811124, -87.7487991844612)",2015-07-11
Vacant/Abandoned Building,15-03726233,07/30/2015,Front,,Open,FRONT,Vacant,False,False,6919,S,JUSTINE,ST,60636.0,1167198.38652028,1858843.02109268,16.0,7.0,67.0,41.76821897512762,-87.66269554585872,"(41.76821897512762, -87.66269554585874)",2015-07-30
Vacant/Abandoned Building,15-03732623,07/30/2015,Rear,,Boarded,,Vacant,False,True,6505,S,LAFLIN,ST,60636.0,1167454.4367146,1861598.9320933,16.0,7.0,67.0,41.77577606729995,-87.66167810906526,"(41.77577606729995, -87.66167810906526)",2015-07-30
Vacant/Abandoned Building,15-03594281,07/23/2015,Front,,Open,FRONT DOOR,Vacant,False,True,6343,S,MARSHFIELD,AVE,60636.0,1166417.59748868,1862639.50997243,16.0,7.0,67.0,41.77865370526648,-87.66544944245706,"(41.77865370526648, -87.66544944245707)",2015-07-23
Vacant/Abandoned Building,15-03600113,07/23/2015,Front,,Open,FRONT/REAR,Vacant,True,False,6508,S,BISHOP,ST,60636.0,1167784.38190401,1861587.21399205,16.0,7.0,67.0,41.775736833580616,-87.66046889644932,"(41.77573683358062, -87.66046889644932)",2015-07-23
Vacant/Abandoned Building,15-03616761,07/24/2015,Front,,Boarded,,Vacant,False,False,6438,S,LAFLIN,ST,60636.0,1167442.07751435,1862041.35159099,16.0,7.0,67.0,41.7769903873008,-87.66171075017868,"(41.7769903873008, -87.66171075017867)",2015-07-24
Vacant/Abandoned Building,15-03637840,07/25/2015,Front,,Open,FRONT,Vacant,False,False,6923,S,JUSTINE,ST,60636.0,1167199.18652028,1858816.22109268,16.0,7.0,67.0,41.768145415296594,-87.66269337943119,"(41.76814541529659, -87.66269337943119)",2015-07-25
Vacant/Abandoned Building,15-03641062,07/25/2015,Rear,,Open,,Vacant,False,True,7825,S,LAFLIN,ST,60620.0,1167473.61292359,1852839.70558525,17.0,6.0,71.0,41.751739176461065,-87.66185847278228,"(41.751739176461065, -87.6618584727823)",2015-07-25
Vacant/Abandoned Building,15-03546414,07/21/2015,Rear,,Open,REAR,Vacant,False,False,1807,W,71ST,ST,60636.0,1165501.66423376,1857603.52940291,17.0,7.0,67.0,41.764853777662026,-87.66894994547151,"(41.76485377766203, -87.66894994547152)",2015-07-21
Vacant/Abandoned Building,15-03341320,07/11/2015,Front,,Open,FRONT DOOR,Vacant,False,True,6813,S,JUSTINE,ST,60636.0,1167178.43491854,1859546.54446898,16.0,7.0,67.0,41.77014996207128,-87.66274857229307,"(41.77014996207128, -87.66274857229307)",2015-07-11
Vacant/Abandoned Building,15-03403643,07/14/2015,Front,,Boarded,,Vacant,False,False,7003,S,WINCHESTER,AVE,60636.0,1164565.12231894,1858226.19287766,17.0,7.0,67.0,41.766582251209776,-87.67236510949421,"(41.76658225120977, -87.6723651094942)",2015-07-14
Vacant/Abandoned Building,15-03412320,07/15/2015,Rear,,Open,REAR,Vacant,False,True,7220,S,WINCHESTER,AVE,60636.0,1164604.89750027,1856786.78489662,17.0,7.0,67.0,41.76263147800981,-87.67225986605766,"(41.76263147800981, -87.67225986605766)",2015-07-15
Vacant/Abandoned Building,15-03700104,07/28/2015,Front,,Open,THE SIDE DOOR IS OPEN,Vacant,False,False,6820,S,HONORE,ST,60636.0,1165194.03250315,1859452.56789359,17.0,7.0,67.0,41.76993430489936,-87.67002524079986,"(41.76993430489936, -87.67002524079986)",2015-07-28
Vacant/Abandoned Building,15-03751767,07/31/2015,Front,,Boarded,,Vacant,False,False,5406,S,PAULINA,ST,60609.0,1165929.79741878,1868852.95897471,16.0,9.0,61.0,41.79571456541152,-87.6670612340348,"(41.795714565411515, -87.6670612340348)",2015-07-31
Vacant/Abandoned Building,15-03524286,07/20/2015,Front,,Boarded,,Vacant,False,False,1817,N,WASHTENAW,AVE,60647.0,1158083.08337301,1911983.06136886,1.0,14.0,22.0,41.914231479356346,-87.69465921481572,"(41.914231479356346, -87.6946592148157)",2015-07-20
Vacant/Abandoned Building,15-03403995,07/14/2015,Rear,,Boarded,,Vacant,False,False,7012,S,WINCHESTER,AVE,60636.0,1164566.72231894,1858166.09287766,17.0,7.0,67.0,41.766417294817565,-87.6723609376908,"(41.76641729481756, -87.6723609376908)",2015-07-14
Vacant/Abandoned Building,15-03370267,07/13/2015,Front,,Open,,Vacant,False,True,6817,S,JUSTINE,ST,60636.0,1167179.13491854,1859519.74446898,16.0,7.0,67.0,41.77007640440454,-87.66274677232737,"(41.77007640440454, -87.66274677232737)",2015-07-13
Vacant/Abandoned Building,15-03397633,07/14/2015,Rear,,Open,,Vacant,False,True,8602,S,MUSKEGON,AVE,60617.0,1196644.42382326,1848484.9707958,10.0,4.0,46.0,41.7391149974322,-87.55510694397749,"(41.739114997432196, -87.55510694397749)",2015-07-14
Vacant/Abandoned Building,15-03225786,07/06/2015,Front,,Open,,Vacant,False,False,5409,S,PAULINA,ST,60609.0,1165930.39741878,1868832.75897471,16.0,9.0,61.0,41.79565912141883,-87.66705960792541,"(41.79565912141883, -87.66705960792541)",2015-07-06
Vacant/Abandoned Building,15-03244431,07/07/2015,,,,,,,,6111,S,ABERDEEN,ST,60621.0,1170029.690477,1864279.47578669,16.0,7.0,68.0,41.78307621948526,-87.65215963661413,"(41.78307621948526, -87.65215963661414)",2015-07-07
Vacant/Abandoned Building,15-03255286,07/07/2015,Front,,Open,ALL,Vacant,False,False,11014,S,GREEN BAY,AVE,60617.0,1200548.3563859,1832532.82042423,10.0,4.0,52.0,41.69524323822468,-87.54134163049763,"(41.69524323822468, -87.54134163049763)",2015-07-07
Vacant/Abandoned Building,15-03711621,07/29/2015,,,,,,,,1536,W,71ST,ST,60636.0,1167213.57992692,1857642.55339236,17.0,7.0,67.0,41.76492440836039,-87.66267416454252,"(41.76492440836039, -87.66267416454251)",2015-07-29
Vacant/Abandoned Building,15-03461117,07/17/2015,Front,,Open,FRONT-REAR AND SIDE,Vacant,False,False,1932,N,OAKLEY,AVE,60647.0,1160721.4409738998,1912985.94998015,32.0,14.0,22.0,41.91692915670196,-87.68493845596375,"(41.91692915670196, -87.68493845596375)",2015-07-17
Vacant/Abandoned Building,15-03396935,07/14/2015,Garage,,Open,GARAGE,Vacant,False,False,7351,W,BARRY,AVE,60707.0,1126451.6916137,1919796.81232482,29.0,25.0,17.0,41.93626099030549,-87.81069486148479,"(41.936260990305485, -87.81069486148479)",2015-07-14
Vacant/Abandoned Building,15-03400930,07/14/2015,Front,,Open,ALL AROUND,Vacant,False,False,7400,S,ASHLAND,AVE,60636.0,1166965.54682149,1855647.07479859,17.0,7.0,67.0,41.75945384997294,-87.66364021990806,"(41.759453849972935, -87.66364021990806)",2015-07-14
Vacant/Abandoned Building,15-03300205,07/09/2015,Front,,Open,,Vacant,False,False,7142,S,PAULINA,ST,60636.0,1166246.92689357,1857337.98171388,17.0,7.0,67.0,41.764109250273385,-87.66622588959534,"(41.764109250273385, -87.66622588959535)",2015-07-09
Vacant/Abandoned Building,15-03326129,07/10/2015,Front,,Boarded,,Vacant,False,False,7342,S,PAULINA,ST,60636.0,1166283.80120637,1856013.07101043,17.0,7.0,67.0,41.760472730469274,-87.66612840194577,"(41.76047273046927, -87.66612840194577)",2015-07-10
Vacant/Abandoned Building,15-03330329,07/11/2015,Front,,Open,,Vacant,False,False,1515,W,72ND,ST,60636.0,1167295.94326823,1856982.11628111,17.0,7.0,67.0,41.763110318508154,-87.66239116047262,"(41.763110318508154, -87.66239116047262)",2015-07-11
