SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date,Community
Vacant/Abandoned Building,11-00095015,01/20/2011,Front,,Open,FRONT DOOR,Vacant,,True,6340,S,FAIRFIELD,AVE,,1159134.07707948,1862480.73838402,15.0,8.0,66.0,41.77837014368497,-87.69215582099861,"(41.77837014368497, -87.69215582099861)",2011-01-20,66
Vacant/Abandoned Building,11-00095403,01/20/2011,Front,,Open,DOOR IS WIDE OPEN,Vacant,False,False,8801,S,LOWE,AVE,60620.0,1173510.96107238,1846538.51192106,21.0,22.0,71.0,41.734316453405576,-87.63992050287438,"(41.73431645340558, -87.63992050287438)",2011-01-20,71
Vacant/Abandoned Building,11-00095451,01/20/2011,,,,,,,,6635,S,LOWE,AVE,60621.0,1173180.45982596,1860890.64077494,6.0,7.0,68.0,41.77370779627752,-87.64070800891706,"(41.77370779627752, -87.64070800891706)",2011-01-20,68
Vacant/Abandoned Building,11-00095452,01/20/2011,,,,,,,,7010,S,WINCHESTER,AVE,60636.0,1164566.42231894,1858179.39287766,17.0,7.0,67.0,41.766453798170424,-87.6723616626891,"(41.76645379817042, -87.6723616626891)",2011-01-20,67
Vacant/Abandoned Building,11-00095454,01/20/2011,,,,,,,,7937,S,MAPLEWOOD,AVE,60652.0,1160760.62697656,1851802.27987227,18.0,8.0,70.0,41.749033456145426,-87.68648715373844,"(41.74903345614543, -87.68648715373843)",2011-01-20,70
Vacant/Abandoned Building,11-00095669,01/20/2011,Front,,Open,FRONT,Vacant,False,True,6055,S,CAMPBELL,AVE,60629.0,1160741.90232872,1864430.01320673,15.0,8.0,66.0,41.783686174445364,-87.68620763204865,"(41.78368617444537, -87.68620763204864)",2011-01-20,66
Vacant/Abandoned Building,11-00095929,01/20/2011,Front,,Open,FRONT DOOR,Vacant,False,True,4210,W,JACKSON,BLVD,60624.0,1148369.88180797,1898353.64358965,28.0,11.0,26.0,41.87702384807105,-87.7306958970059,"(41.87702384807105, -87.7306958970059)",2011-01-20,26
Vacant/Abandoned Building,11-00095952,01/20/2011,Rear,,Open,REAR OPEN ALL 3 LEVELS,Vacant,False,True,2455,W,LEXINGTON,ST,60612.0,1160137.57291975,1896629.36422044,2.0,11.0,28.0,41.87205740235441,-87.68753590229328,"(41.87205740235441, -87.68753590229328)",2011-01-20,28
Vacant/Abandoned Building,11-00095971,01/20/2011,Front,,Boarded,CONSERVATION CONSENT DECREE COURT CASE REQUESTING A DEMO INSPECTION,Vacant,False,False,4636,S,PAULINA,ST,60609.0,1165788.96538872,1873962.76111078,20.0,9.0,61.0,41.80973945571214,-87.66743250366513,"(41.80973945571214, -87.66743250366513)",2011-01-20,61
Vacant/Abandoned Building,11-00095974,01/20/2011,Front,,Open,FRONT,Vacant,False,True,2643,N,FAIRFIELD,AVE,60647.0,1157581.65158056,1917507.27996968,35.0,14.0,22.0,41.929400586262865,-87.69635064470823,"(41.929400586262865, -87.69635064470823)",2011-01-20,22
Vacant/Abandoned Building,11-00095977,01/20/2011,Front,,Open,,Vacant,False,False,434,N,SPRINGFIELD,AVE,60624.0,1150309.81178854,1902662.62993031,27.0,11.0,23.0,41.88881057667703,-87.72346055328421,"(41.88881057667703, -87.72346055328421)",2011-01-20,23
Vacant/Abandoned Building,11-00096013,01/20/2011,Garage,,Open,"GARAGE DOOR, FRONT AND SIDE",Vacant,False,True,8325,S,CALUMET,AVE,60619.0,1179922.83172438,1849873.69900312,6.0,6.0,44.0,41.743324443555494,-87.61632868561821,"(41.743324443555494, -87.6163286856182)",2011-01-20,44
Vacant/Abandoned Building,11-00096203,01/20/2011,Front,,Open,4523 OR 4525 W FULTON - ALL DOORS/WINDOWS OPEN/UNSECURED,Vacant,False,True,4523,W,FULTON,ST,60624.0,1146200.37979445,1901369.63537957,28.0,11.0,26.0,41.88534160757195,-87.73858500632238,"(41.88534160757195, -87.73858500632238)",2011-01-20,26
Vacant/Abandoned Building,11-00096208,01/20/2011,Front,,Open,FRONT DOOR OPEN/UNSECURED,Vacant,False,False,5751,W,MELROSE,ST,60634.0,1137458.56138182,1921025.16408346,38.0,16.0,15.0,41.9394404583424,-87.77021312286756,"(41.93944045834241, -87.77021312286757)",2011-01-20,15
Vacant/Abandoned Building,11-00097589,01/21/2011,,,,,,,,5416,W,THOMAS,ST,60651.0,1139977.03999307,1906801.16167423,37.0,15.0,25.0,41.90036246579726,-87.76130557096624,"(41.90036246579726, -87.76130557096623)",2011-01-21,25
Vacant/Abandoned Building,11-00097590,01/21/2011,,,,,,,,1742,N,KEATING,AVE,60639.0,1144456.13128716,1911183.57832777,37.0,25.0,25.0,41.9123051584012,-87.74474302554142,"(41.9123051584012, -87.74474302554142)",2011-01-21,25
Vacant/Abandoned Building,11-00097779,01/21/2011,Front,,Open,,Vacant,False,False,2321,W,24TH,ST,60608.0,1161271.41568939,1888026.88663229,25.0,10.0,31.0,41.84842787253506,-87.6836120951302,"(41.84842787253506, -87.68361209513021)",2011-01-21,31
Vacant/Abandoned Building,11-00097831,01/21/2011,Front,,Open,,Vacant,False,False,10718,S,CHURCH,ST,60643.0,1167973.74367914,1833655.06052376,19.0,22.0,75.0,41.699082902034675,-87.66057516038212,"(41.69908290203467, -87.66057516038211)",2011-01-21,75
Vacant/Abandoned Building,11-00097836,01/21/2011,Front,,Open,,Vacant,False,False,2219,S,KOSTNER,AVE,60623.0,1147402.56448841,1888878.07838419,22.0,10.0,29.0,41.851040311912534,-87.73449032214424,"(41.85104031191253, -87.73449032214423)",2011-01-21,29
Vacant/Abandoned Building,11-00099591,01/21/2011,Front,,Open,,Vacant,False,True,9518,S,LA SALLE,ST,60628.0,1176955.5599302,1841839.63987512,21.0,5.0,49.0,41.721345289294526,-87.62744229187216,"(41.721345289294526, -87.62744229187216)",2011-01-21,49
