,route,date,daytype,rides
634771,147,2015-01-05,W,10989
634772,147,2015-01-06,W,11389
634773,147,2015-01-07,W,9054
634774,147,2015-01-08,W,9684
634775,147,2015-01-09,W,10800
634776,147,2015-01-10,A,8306
634777,147,2015-01-11,U,6109
634778,147,2015-01-12,W,12444
634779,147,2015-01-13,W,12586
634780,147,2015-01-14,W,12731
634781,147,2015-01-15,W,13270
634782,147,2015-01-16,W,13465
634783,147,2015-01-17,A,11531
634784,147,2015-01-18,U,7540
634785,147,2015-01-19,W,11267
634786,147,2015-01-20,W,13400
634787,147,2015-01-21,W,13297
634788,147,2015-01-22,W,13209
634789,147,2015-01-23,W,12821
634790,147,2015-01-24,A,10875
634791,147,2015-01-25,U,5985
634792,147,2015-01-26,W,13117
634793,147,2015-01-27,W,13324
634794,147,2015-01-28,W,13507
634795,147,2015-01-29,W,13618
634796,147,2015-01-30,W,12970
634797,147,2015-01-31,A,10631
634798,148,2015-01-02,W,1538
634799,148,2015-01-05,W,2185
634800,148,2015-01-06,W,2308
634801,148,2015-01-07,W,2008
634802,148,2015-01-08,W,2129
634803,148,2015-01-09,W,2218
634804,148,2015-01-12,W,2257
634805,148,2015-01-13,W,2381
634806,148,2015-01-14,W,2874
634807,148,2015-01-15,W,2432
634808,148,2015-01-16,W,2360
634809,148,2015-01-19,W,1414
634810,148,2015-01-20,W,2658
634811,148,2015-01-21,W,2545
634812,148,2015-01-22,W,2779
634813,148,2015-01-23,W,2441
634814,148,2015-01-26,W,2531
634815,148,2015-01-27,W,2828
634816,148,2015-01-28,W,2934
634817,148,2015-01-29,W,2657
634818,148,2015-01-30,W,2250
634819,15,2015-01-01,U,2993
634820,15,2015-01-02,W,5434
634821,15,2015-01-03,A,3824
634822,15,2015-01-04,U,3199
634823,15,2015-01-05,W,6592
634824,15,2015-01-06,W,6597
634825,15,2015-01-07,W,3481
634826,15,2015-01-08,W,3875
634827,15,2015-01-09,W,5992
634828,15,2015-01-10,A,4067
634829,15,2015-01-11,U,3444
634830,15,2015-01-12,W,7385
634831,15,2015-01-13,W,7503
634832,15,2015-01-14,W,7403
634833,15,2015-01-15,W,7435
634834,15,2015-01-16,W,8076
634835,15,2015-01-17,A,4841
634836,15,2015-01-18,U,3593
634837,15,2015-01-19,W,4407
634838,15,2015-01-20,W,7542
634839,15,2015-01-21,W,7963
634840,15,2015-01-22,W,7520
634841,15,2015-01-23,W,7731
634842,15,2015-01-24,A,4991
634843,15,2015-01-25,U,3423
634844,15,2015-01-26,W,7558
634845,15,2015-01-27,W,7569
634846,15,2015-01-28,W,7686
634847,15,2015-01-29,W,7495
634848,15,2015-01-30,W,8111
634849,15,2015-01-31,A,5123
634850,151,2015-01-01,U,9716
634851,151,2015-01-02,W,14361
634852,151,2015-01-03,A,11626
634853,151,2015-01-04,U,9664
634854,151,2015-01-05,W,14627
634855,151,2015-01-06,W,15381
634856,151,2015-01-07,W,11659
634857,151,2015-01-08,W,13065
634858,151,2015-01-09,W,13707
634859,151,2015-01-10,A,11781
634860,151,2015-01-11,U,9399
634861,151,2015-01-12,W,15433
634862,151,2015-01-13,W,16461
634863,151,2015-01-14,W,16004
634864,151,2015-01-15,W,16925
634865,151,2015-01-16,W,16594
634866,151,2015-01-17,A,14804
634867,151,2015-01-18,U,11611
634868,151,2015-01-19,W,14436
634869,151,2015-01-20,W,16223
634870,151,2015-01-21,W,15747
634871,151,2015-01-22,W,16780
634872,151,2015-01-23,W,16367
634873,151,2015-01-24,A,14651
634874,151,2015-01-25,U,9489
634875,151,2015-01-26,W,16429
634876,151,2015-01-27,W,16876
634877,151,2015-01-28,W,15991
634878,151,2015-01-29,W,16034
634879,151,2015-01-30,W,16236
634880,151,2015-01-31,A,14162
634881,152,2015-01-01,U,2028
634882,152,2015-01-02,W,6039
634883,152,2015-01-03,A,3610
634884,152,2015-01-04,U,2582
634885,152,2015-01-05,W,9369
634886,152,2015-01-06,W,9688
634887,152,2015-01-07,W,4996
634888,152,2015-01-08,W,5692
634889,152,2015-01-09,W,8519
634890,152,2015-01-10,A,3905
634891,152,2015-01-11,U,2905
634892,152,2015-01-12,W,10646
634893,152,2015-01-13,W,10711
634894,152,2015-01-14,W,10416
634895,152,2015-01-15,W,10837
634896,152,2015-01-16,W,10742
634897,152,2015-01-17,A,4740
634898,152,2015-01-18,U,3092
634899,152,2015-01-19,W,6336
634900,152,2015-01-20,W,10798
634901,152,2015-01-21,W,10566
634902,152,2015-01-22,W,10906
634903,152,2015-01-23,W,10819
634904,152,2015-01-24,A,4707
634905,152,2015-01-25,U,2726
634906,152,2015-01-26,W,10386
634907,152,2015-01-27,W,10735
634908,152,2015-01-28,W,10759
634909,152,2015-01-29,W,10918
634910,152,2015-01-30,W,10840
634911,152,2015-01-31,A,4749
634912,155,2015-01-01,U,3435
634913,155,2015-01-02,W,5875
634914,155,2015-01-03,A,4679
634915,155,2015-01-04,U,3578
634916,155,2015-01-05,W,5878
634917,155,2015-01-06,W,6198
634918,155,2015-01-07,W,4244
634919,155,2015-01-08,W,4710
634920,155,2015-01-09,W,5862
634921,155,2015-01-10,A,4885
634922,155,2015-01-11,U,4241
634923,155,2015-01-12,W,7056
634924,155,2015-01-13,W,6846
634925,155,2015-01-14,W,6340
634926,155,2015-01-15,W,7426
634927,155,2015-01-16,W,7394
634928,155,2015-01-17,A,5581
634929,155,2015-01-18,U,4430
634930,155,2015-01-19,W,5711
634931,155,2015-01-20,W,7402
634932,155,2015-01-21,W,7434
634933,155,2015-01-22,W,7175
634934,155,2015-01-23,W,7398
634935,155,2015-01-24,A,5661
634936,155,2015-01-25,U,3682
634937,155,2015-01-26,W,7181
634938,155,2015-01-27,W,7263
634939,155,2015-01-28,W,7514
634940,155,2015-01-29,W,7265
634941,155,2015-01-30,W,7509
634942,155,2015-01-31,A,6076
634943,156,2015-01-02,W,4580
634944,156,2015-01-05,W,8638
634945,156,2015-01-06,W,8478
634946,156,2015-01-07,W,6399
634947,156,2015-01-08,W,7219
634948,156,2015-01-09,W,7628
634949,156,2015-01-12,W,9003
634950,156,2015-01-13,W,8593
634951,156,2015-01-14,W,9056
634952,156,2015-01-15,W,8022
634953,156,2015-01-16,W,7224
634954,156,2015-01-19,W,4666
634955,156,2015-01-20,W,8220
634956,156,2015-01-21,W,8373
634957,156,2015-01-22,W,7770
