,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,date
35348,08/01/2011,Completed - Dup,08/19/2011,11-03503223,Street Light - 1/Out,8156 S KNOX AVE,60652.0,1146996.46720766,1850076.93778606,13.0,8.0,70.0,41.74457168764492,-87.73696878384224,"(41.74457168764492,-87.73696878384224)",2011-08-01
35349,08/01/2011,Completed - Dup,08/19/2011,11-03508458,Street Light - 1/Out,347 W GARFIELD BLVD,60621.0,1174717.50507273,1868345.32022652,3.0,7.0,68.0,41.79413013211364,-87.6348515621171,"(41.79413013211363,-87.6348515621171)",2011-08-01
35350,08/01/2011,Completed - Dup,08/19/2011,11-03508811,Street Light - 1/Out,8736 S LOWE AVE,60620.0,1173500.30457995,1846905.36278904,21.0,22.0,71.0,41.735323376978435,-87.63994871572956,"(41.735323376978435,-87.63994871572957)",2011-08-01
35351,08/01/2011,Completed - Dup,08/22/2011,11-03500717,Street Light - 1/Out,2400 S SPAULDING AVE,60623.0,1154740.23999325,1887862.59172974,22.0,10.0,30.0,41.84811012304522,-87.7075864401317,"(41.848110123045224,-87.7075864401317)",2011-08-01
35352,08/01/2011,Completed - Dup,08/22/2011,11-03506749,Street Light - 1/Out,11017 S SAWYER AVE,60655.0,1156635.19002776,1831403.61011871,19.0,22.0,74.0,41.69314004828148,-87.70215249295745,"(41.69314004828148,-87.70215249295745)",2011-08-01
35353,08/01/2011,Completed - Dup,08/23/2011,11-03503369,Street Light - 1/Out,21 N WALLER AVE,60644.0,1138165.08418749,1899588.24210883,29.0,15.0,25.0,41.88060225909042,-87.76813557387119,"(41.88060225909042,-87.76813557387119)",2011-08-01
35354,08/01/2011,Completed - Dup,08/23/2011,11-03508520,Street Light - 1/Out,2000 W ARGYLE ST,60625.0,1162102.92716962,1933210.52029662,47.0,20.0,4.0,41.97239773473029,-87.6792959191309,"(41.972397734730286,-87.67929591913091)",2011-08-01
35355,08/01/2011,Completed - Dup,08/24/2011,11-03501662,Street Light - 1/Out,11327 S TALMAN AVE,60655.0,1160744.05989589,1829413.56521434,19.0,22.0,75.0,41.687595395958276,-87.68716361023519,"(41.68759539595827,-87.68716361023519)",2011-08-01
35356,08/01/2011,Completed - Dup,08/24/2011,11-03504227,Street Light - 1/Out,2311 S MARSHALL BLVD,60623.0,1157066.41611542,1888504.47767122,12.0,10.0,30.0,41.84982470060697,-87.699031823765,"(41.84982470060697,-87.699031823765)",2011-08-01
35357,08/01/2011,Completed - Dup,08/26/2011,11-03500030,Street Light - 1/Out,8512 S CARPENTER ST,60620.0,1170801.60477382,1848371.3429985,21.0,6.0,71.0,41.73940546750229,-87.64979300584412,"(41.739405467502294,-87.64979300584413)",2011-08-01
35358,08/01/2011,Completed - Dup,08/26/2011,11-03501412,Street Light - 1/Out,6122 S CHAMPLAIN AVE,60637.0,1181619.39466713,1864559.96138898,20.0,3.0,42.0,41.783586094173984,-87.60965972562452,"(41.783586094173984,-87.60965972562452)",2011-08-01
35359,08/01/2011,Completed - Dup,08/30/2011,11-03501834,Street Light - 1/Out,10139 S OAKLEY AVE,60643.0,1162614.16991598,1837342.93466945,19.0,22.0,72.0,41.7093162698405,-87.68009713144333,"(41.7093162698405,-87.68009713144333)",2011-08-01
35360,08/01/2011,Completed - Dup,08/30/2011,11-03507747,Street Light - 1/Out,10136 S OAKLEY AVE,60643.0,1162613.46991598,1837363.03466945,19.0,22.0,72.0,41.709371442208855,-87.68009913654062,"(41.70937144220886,-87.68009913654062)",2011-08-01
35361,08/01/2011,Completed - Dup,08/30/2011,11-03508754,Street Light - 1/Out,3241 N HAMLIN AVE,60618.0,1150488.83992035,1921285.30378247,30.0,17.0,21.0,41.939909435182216,-87.72231586426298,"(41.93990943518222,-87.72231586426298)",2011-08-01
35362,08/01/2011,Completed - Dup,08/31/2011,11-03501777,Street Light - 1/Out,67 W 112TH PL,60628.0,1177756.40498711,1830367.28248182,34.0,5.0,49.0,41.68984548722787,-87.62485467671284,"(41.68984548722787,-87.62485467671284)",2011-08-01
35363,08/01/2011,Completed - Dup,08/31/2011,11-03507815,Street Light - 1/Out,101 W 112TH PL,60628.0,1177508.20498711,1830361.18248182,34.0,5.0,49.0,41.68983434605464,-87.62576351990084,"(41.68983434605463,-87.62576351990084)",2011-08-01
35364,08/01/2011,Completed - Dup,09/01/2011,11-03508139,Street Light - 1/Out,5508 S CARPENTER ST,60621.0,1170255.35988372,1868165.32242625,16.0,7.0,68.0,41.793734520580756,-87.65121923110495,"(41.79373452058076,-87.65121923110493)",2011-08-01
35365,08/01/2011,Completed - Dup,09/03/2011,11-03505025,Street Light - 1/Out,10400 S CLAREMONT AVE,60643.0,1162557.0991089,1835609.42240205,19.0,22.0,72.0,41.704560404947905,-87.68035427108246,"(41.70456040494791,-87.68035427108246)",2011-08-01
35366,08/01/2011,Completed - Dup,09/07/2011,11-03504100,Street Light - 1/Out,6428 N RICHMOND ST,60645.0,1155503.33427066,1942495.7696717,50.0,24.0,2.0,41.99801260773045,-87.7033126993608,"(41.998012607730445,-87.7033126993608)",2011-08-01
35367,08/01/2011,Completed - Dup,09/08/2011,11-03499725,Street Light - 1/Out,2951 W 25TH PL,60623.0,1157091.81757568,1886938.11999091,12.0,10.0,30.0,41.84552592349417,-87.69898106091063,"(41.84552592349417,-87.69898106091063)",2011-08-01
35368,08/01/2011,Completed - Dup,09/13/2011,11-03505188,Street Light - 1/Out,3243 S RIDGEWAY AVE,60623.0,1151887.7527908,1882844.29538641,22.0,10.0,30.0,41.83439584483424,-87.71818718833956,"(41.83439584483424,-87.71818718833957)",2011-08-01
35369,08/01/2011,Completed - Dup,09/15/2011,11-03500595,Street Light - 1/Out,402 S LOOMIS ST,60607.0,1167120.74087473,1898256.05012436,2.0,12.0,28.0,41.87637412683061,-87.66185110583643,"(41.876374126830605,-87.66185110583642)",2011-08-01
35370,08/01/2011,Completed - Dup,09/15/2011,11-03506410,Street Light - 1/Out,6664 N HIAWATHA AVE,60646.0,1138162.58829284,1943749.25581515,41.0,16.0,12.0,42.00178465196024,-87.7670735638722,"(42.001784651960236,-87.7670735638722)",2011-08-01
35371,08/01/2011,Completed - Dup,09/16/2011,11-03501945,Street Light - 1/Out,7400 S OGLESBY AVE,60649.0,1193157.22418701,1856353.43321385,7.0,3.0,43.0,41.76079253327197,-87.56762659863766,"(41.760792533271974,-87.56762659863766)",2011-08-01
35372,08/01/2011,Completed - Dup,09/19/2011,11-03499727,Street Light - 1/Out,2934 N WHIPPLE ST,60618.0,1155535.78839898,1919352.91562123,35.0,14.0,21.0,41.93450660999842,-87.70381882207056,"(41.93450660999842,-87.70381882207056)",2011-08-01
35373,08/01/2011,Completed - Dup,09/20/2011,11-03499763,Street Light - 1/Out,8820 S CONSTANCE AVE,60617.0,1190052.51012316,1846858.52032773,8.0,4.0,48.0,41.734812900294635,-87.57931028695671,"(41.73481290029463,-87.57931028695671)",2011-08-01
35374,08/01/2011,Completed - Dup,09/20/2011,11-03500710,Street Light - 1/Out,11000 S PEORIA ST,60643.0,1172276.91590089,1831890.2799128003,34.0,22.0,75.0,41.69414675000053,-87.64487057162073,"(41.69414675000052,-87.64487057162073)",2011-08-01
35375,08/01/2011,Completed - Dup,09/21/2011,11-03499746,Street Light - 1/Out,2876 W 21ST PL,60623.0,1157361.71998222,1889583.34990066,12.0,10.0,30.0,41.852779254591844,-87.6979187115958,"(41.852779254591844,-87.69791871159579)",2011-08-01
